"SETTLEMENTDATE","RUNNO","REGIONID","PERIODID","RRP","EEP","INVALIDFLAG","LASTCHANGED","ROP","RAISE6SECRRP","RAISE6SECROP","RAISE60SECRRP","RAISE60SECROP","RAISE5MINRRP","RAISE5MINROP","RAISEREGRRP","RAISEREGROP","LOWER6SECRRP","LOWER6SECROP","LOWER60SECRRP","LOWER60SECROP","LOWER5MINRRP","LOWER5MINROP","LOWERREGRRP","LOWERREGROP","PRICE_STATUS"
"1998-11-21 03:30:00",1,"NSW1",7,13.03000,0.00000,,"1998-11-21 03:25:06",13.02678,,,,,,,,,,,,,,,,,
"1998-11-21 03:30:00",1,"QLD1",7,23.29000,0.00000,,"1998-11-21 03:25:06",23.29167,,,,,,,,,,,,,,,,,
"1998-11-21 03:30:00",1,"SA1",7,12.89000,0.00000,,"1998-11-21 03:25:06",12.88934,,,,,,,,,,,,,,,,,
"1998-11-21 03:30:00",1,"SNOWY1",7,12.37000,0.00000,,"1998-11-21 03:25:06",12.37124,,,,,,,,,,,,,,,,,
"1998-11-21 03:30:00",1,"VIC1",7,11.70000,0.00000,,"1998-11-21 03:25:06",11.69993,,,,,,,,,,,,,,,,,
"1998-11-21 04:00:00",1,"NSW1",8,13.19000,0.00000,,"1998-11-21 03:55:05",13.18601,,,,,,,,,,,,,,,,,
"1998-11-21 04:00:00",1,"QLD1",8,31.73000,0.00000,,"1998-11-21 03:55:05",31.73168,,,,,,,,,,,,,,,,,
"1998-11-21 04:00:00",1,"SA1",8,12.76000,0.00000,,"1998-11-21 03:55:05",12.76200,,,,,,,,,,,,,,,,,
"1998-11-21 04:00:00",1,"SNOWY1",8,12.45000,0.00000,,"1998-11-21 03:55:05",12.45156,,,,,,,,,,,,,,,,,
"1998-11-21 04:00:00",1,"VIC1",8,11.70000,0.00000,,"1998-11-21 03:55:05",11.70012,,,,,,,,,,,,,,,,,
"1998-11-21 04:30:00",1,"NSW1",9,7.55000,0.00000,,"1998-11-21 04:25:05",7.54958,,,,,,,,,,,,,,,,,
"1998-11-21 04:30:00",1,"QLD1",9,14.89000,0.00000,,"1998-11-21 04:25:05",14.88834,,,,,,,,,,,,,,,,,
"1998-11-21 04:30:00",1,"SA1",9,7.37000,0.00000,,"1998-11-21 04:25:05",7.37279,,,,,,,,,,,,,,,,,
"1998-11-21 04:30:00",1,"SNOWY1",9,7.14000,0.00000,,"1998-11-21 04:25:05",7.13576,,,,,,,,,,,,,,,,,
"1998-11-21 04:30:00",1,"VIC1",9,6.71000,0.00000,,"1998-11-21 04:25:05",6.71416,,,,,,,,,,,,,,,,,
"1998-11-21 05:00:00",1,"NSW1",10,12.06000,0.00000,,"1998-11-21 04:55:05",12.05798,,,,,,,,,,,,,,,,,
"1998-11-21 05:00:00",1,"QLD1",10,13.87000,0.00000,,"1998-11-21 04:55:05",13.87499,,,,,,,,,,,,,,,,,
"1998-11-21 05:00:00",1,"SA1",10,11.69000,0.00000,,"1998-11-21 04:55:05",11.68804,,,,,,,,,,,,,,,,,
"1998-11-21 05:00:00",1,"SNOWY1",10,11.35000,0.00000,,"1998-11-21 04:55:05",11.34751,,,,,,,,,,,,,,,,,
"1998-11-21 05:00:00",1,"VIC1",10,10.62000,0.00000,,"1998-11-21 04:55:05",10.61999,,,,,,,,,,,,,,,,,
"1998-11-21 05:30:00",1,"NSW1",11,13.14000,0.00000,,"1998-11-21 05:25:06",13.14181,,,,,,,,,,,,,,,,,
"1998-11-21 05:30:00",1,"QLD1",11,18.38000,0.00000,,"1998-11-21 05:25:06",18.38496,,,,,,,,,,,,,,,,,
"1998-11-21 05:30:00",1,"SA1",11,12.49000,0.00000,,"1998-11-21 05:25:06",12.49316,,,,,,,,,,,,,,,,,
"1998-11-21 05:30:00",1,"SNOWY1",11,12.32000,0.00000,,"1998-11-21 05:25:06",12.32406,,,,,,,,,,,,,,,,,
"1998-11-21 05:30:00",1,"VIC1",11,11.49000,0.00000,,"1998-11-21 05:25:06",11.48792,,,,,,,,,,,,,,,,,
"1998-11-21 06:00:00",1,"NSW1",12,12.65000,0.00000,,"1998-11-21 05:55:07",12.64639,,,,,,,,,,,,,,,,,
"1998-11-21 06:00:00",1,"QLD1",12,21.08000,0.00000,,"1998-11-21 05:55:07",21.08333,,,,,,,,,,,,,,,,,
"1998-11-21 06:00:00",1,"SA1",12,12.14000,0.00000,,"1998-11-21 05:55:07",12.14146,,,,,,,,,,,,,,,,,
"1998-11-21 06:00:00",1,"SNOWY1",12,11.85000,0.00000,,"1998-11-21 05:55:07",11.84661,,,,,,,,,,,,,,,,,
"1998-11-21 06:00:00",1,"VIC1",12,11.03000,0.00000,,"1998-11-21 05:55:07",11.03342,,,,,,,,,,,,,,,,,
"1998-11-21 06:30:00",1,"NSW1",13,13.21000,0.00000,,"1998-11-21 06:25:07",13.20549,,,,,,,,,,,,,,,,,
"1998-11-21 06:30:00",1,"QLD1",13,39.88000,0.00000,,"1998-11-21 06:25:07",39.87996,,,,,,,,,,,,,,,,,
"1998-11-21 06:30:00",1,"SA1",13,13.02000,0.00000,,"1998-11-21 06:25:07",13.01587,,,,,,,,,,,,,,,,,
"1998-11-21 06:30:00",1,"SNOWY1",13,12.50000,0.00000,,"1998-11-21 06:25:07",12.49607,,,,,,,,,,,,,,,,,
"1998-11-21 06:30:00",1,"VIC1",13,11.72000,0.00000,,"1998-11-21 06:25:07",11.72018,,,,,,,,,,,,,,,,,
"1998-11-21 07:00:00",1,"NSW1",14,15.14000,0.00000,,"1998-11-21 06:55:06",15.13633,,,,,,,,,,,,,,,,,
"1998-11-21 07:00:00",1,"QLD1",14,30.22000,0.00000,,"1998-11-21 06:55:06",30.21832,,,,,,,,,,,,,,,,,
"1998-11-21 07:00:00",1,"SA1",14,15.23000,0.00000,,"1998-11-21 06:55:06",15.22668,,,,,,,,,,,,,,,,,
"1998-11-21 07:00:00",1,"SNOWY1",14,14.36000,0.00000,,"1998-11-21 06:55:06",14.35562,,,,,,,,,,,,,,,,,
"1998-11-21 07:00:00",1,"VIC1",14,13.50000,0.00000,,"1998-11-21 06:55:06",13.49832,,,,,,,,,,,,,,,,,
"1998-11-21 07:30:00",1,"NSW1",15,16.38000,0.00000,,"1998-11-21 07:25:05",16.37589,,,,,,,,,,,,,,,,,
"1998-11-21 07:30:00",1,"QLD1",15,23.38000,0.00000,,"1998-11-21 07:25:05",23.37501,,,,,,,,,,,,,,,,,
"1998-11-21 07:30:00",1,"SA1",15,16.42000,0.00000,,"1998-11-21 07:25:05",16.41585,,,,,,,,,,,,,,,,,
"1998-11-21 07:30:00",1,"SNOWY1",15,15.37000,0.00000,,"1998-11-21 07:25:05",15.37446,,,,,,,,,,,,,,,,,
"1998-11-21 07:30:00",1,"VIC1",15,14.36000,0.00000,,"1998-11-21 07:25:05",14.36321,,,,,,,,,,,,,,,,,
"1998-11-21 08:00:00",1,"NSW1",16,16.39000,0.00000,,"1998-11-21 07:55:06",16.39399,,,,,,,,,,,,,,,,,
"1998-11-21 08:00:00",1,"QLD1",16,20.59000,0.00000,,"1998-11-21 07:55:06",20.58833,,,,,,,,,,,,,,,,,
"1998-11-21 08:00:00",1,"SA1",16,15.98000,0.00000,,"1998-11-21 07:55:06",15.98074,,,,,,,,,,,,,,,,,
"1998-11-21 08:00:00",1,"SNOWY1",16,15.30000,0.00000,,"1998-11-21 07:55:06",15.30332,,,,,,,,,,,,,,,,,
"1998-11-21 08:00:00",1,"VIC1",16,14.26000,0.00000,,"1998-11-21 07:55:06",14.26494,,,,,,,,,,,,,,,,,
"1998-11-21 08:30:00",1,"NSW1",17,18.60000,0.00000,,"1998-11-21 08:25:07",18.59895,,,,,,,,,,,,,,,,,
"1998-11-21 08:30:00",1,"QLD1",17,18.28000,0.00000,,"1998-11-21 08:25:07",18.27839,,,,,,,,,,,,,,,,,
"1998-11-21 08:30:00",1,"SA1",17,17.73000,0.00000,,"1998-11-21 08:25:07",17.73338,,,,,,,,,,,,,,,,,
"1998-11-21 08:30:00",1,"SNOWY1",17,17.30000,0.00000,,"1998-11-21 08:25:07",17.30306,,,,,,,,,,,,,,,,,
"1998-11-21 08:30:00",1,"VIC1",17,16.06000,0.00000,,"1998-11-21 08:25:07",16.06499,,,,,,,,,,,,,,,,,
"1998-11-21 09:00:00",1,"NSW1",18,20.62000,0.00000,,"1998-11-21 08:55:07",20.61525,,,,,,,,,,,,,,,,,
"1998-11-21 09:00:00",1,"QLD1",18,28.01000,0.00000,,"1998-11-21 08:55:07",28.01500,,,,,,,,,,,,,,,,,
"1998-11-21 09:00:00",1,"SA1",18,19.70000,0.00000,,"1998-11-21 08:55:07",19.69704,,,,,,,,,,,,,,,,,
"1998-11-21 09:00:00",1,"SNOWY1",18,19.05000,0.00000,,"1998-11-21 08:55:07",19.04526,,,,,,,,,,,,,,,,,
"1998-11-21 09:00:00",1,"VIC1",18,17.58000,0.00000,,"1998-11-21 08:55:07",17.58412,,,,,,,,,,,,,,,,,
"1998-11-21 09:30:00",1,"NSW1",19,19.19000,0.00000,,"1998-11-21 09:25:07",19.19191,,,,,,,,,,,,,,,,,
"1998-11-21 09:30:00",1,"QLD1",19,34.50000,0.00000,,"1998-11-21 09:25:07",34.49501,,,,,,,,,,,,,,,,,
"1998-11-21 09:30:00",1,"SA1",19,18.59000,0.00000,,"1998-11-21 09:25:07",18.58504,,,,,,,,,,,,,,,,,
"1998-11-21 09:30:00",1,"SNOWY1",19,17.79000,0.00000,,"1998-11-21 09:25:07",17.79144,,,,,,,,,,,,,,,,,
"1998-11-21 09:30:00",1,"VIC1",19,16.48000,0.00000,,"1998-11-21 09:25:07",16.47833,,,,,,,,,,,,,,,,,
"1998-11-21 10:00:00",1,"NSW1",20,19.37000,0.00000,,"1998-11-21 09:55:06",19.36759,,,,,,,,,,,,,,,,,
"1998-11-21 10:00:00",1,"QLD1",20,34.38000,0.00000,,"1998-11-21 09:55:06",34.37835,,,,,,,,,,,,,,,,,
"1998-11-21 10:00:00",1,"SA1",20,19.07000,0.00000,,"1998-11-21 09:55:06",19.06665,,,,,,,,,,,,,,,,,
"1998-11-21 10:00:00",1,"SNOWY1",20,18.07000,0.00000,,"1998-11-21 09:55:06",18.07275,,,,,,,,,,,,,,,,,
"1998-11-21 10:00:00",1,"VIC1",20,16.84000,0.00000,,"1998-11-21 09:55:06",16.84200,,,,,,,,,,,,,,,,,
"1998-11-21 10:30:00",1,"NSW1",21,17.27000,0.00000,,"1998-11-21 10:25:06",17.26996,,,,,,,,,,,,,,,,,
"1998-11-21 10:30:00",1,"QLD1",21,26.45000,0.00000,,"1998-11-21 10:25:06",26.44667,,,,,,,,,,,,,,,,,
"1998-11-21 10:30:00",1,"SA1",21,17.43000,0.00000,,"1998-11-21 10:25:06",17.42968,,,,,,,,,,,,,,,,,
"1998-11-21 10:30:00",1,"SNOWY1",21,16.25000,0.00000,,"1998-11-21 10:25:06",16.25138,,,,,,,,,,,,,,,,,
"1998-11-21 10:30:00",1,"VIC1",21,15.31000,0.00000,,"1998-11-21 10:25:06",15.30667,,,,,,,,,,,,,,,,,
"1998-11-21 11:00:00",1,"NSW1",22,15.93000,0.00000,,"1998-11-21 10:55:08",15.93335,,,,,,,,,,,,,,,,,
"1998-11-21 11:00:00",1,"QLD1",22,24.41000,0.00000,,"1998-11-21 10:55:08",24.41000,,,,,,,,,,,,,,,,,
"1998-11-21 11:00:00",1,"SA1",22,16.11000,0.00000,,"1998-11-21 10:55:08",16.10646,,,,,,,,,,,,,,,,,
"1998-11-21 11:00:00",1,"SNOWY1",22,15.04000,0.00000,,"1998-11-21 10:55:08",15.03955,,,,,,,,,,,,,,,,,
"1998-11-21 11:00:00",1,"VIC1",22,14.19000,0.00000,,"1998-11-21 10:55:08",14.18501,,,,,,,,,,,,,,,,,
"1998-11-21 11:30:00",1,"NSW1",23,13.68000,0.00000,,"1998-11-21 11:25:06",13.68098,,,,,,,,,,,,,,,,,
"1998-11-21 11:30:00",1,"QLD1",23,27.80000,0.00000,,"1998-11-21 11:25:06",27.79501,,,,,,,,,,,,,,,,,
"1998-11-21 11:30:00",1,"SA1",23,14.18000,0.00000,,"1998-11-21 11:25:06",14.17976,,,,,,,,,,,,,,,,,
"1998-11-21 11:30:00",1,"SNOWY1",23,13.04000,0.00000,,"1998-11-21 11:25:06",13.03569,,,,,,,,,,,,,,,,,
"1998-11-21 11:30:00",1,"VIC1",23,12.43000,0.00000,,"1998-11-21 11:25:06",12.42833,,,,,,,,,,,,,,,,,
"1998-11-21 12:00:00",1,"NSW1",24,14.25000,0.00000,,"1998-11-21 11:55:07",14.25002,,,,,,,,,,,,,,,,,
"1998-11-21 12:00:00",1,"QLD1",24,24.40000,0.00000,,"1998-11-21 11:55:07",24.40001,,,,,,,,,,,,,,,,,
"1998-11-21 12:00:00",1,"SA1",24,15.09000,0.00000,,"1998-11-21 11:55:07",15.08643,,,,,,,,,,,,,,,,,
"1998-11-21 12:00:00",1,"SNOWY1",24,13.58000,0.00000,,"1998-11-21 11:55:07",13.57908,,,,,,,,,,,,,,,,,
"1998-11-21 12:00:00",1,"VIC1",24,12.91000,0.00000,,"1998-11-21 11:55:07",12.91499,,,,,,,,,,,,,,,,,
"1998-11-21 12:30:00",1,"NSW1",25,13.10000,0.00000,,"1998-11-21 12:25:06",13.10036,,,,,,,,,,,,,,,,,
"1998-11-21 12:30:00",1,"QLD1",25,24.96000,0.00000,,"1998-11-21 12:25:06",24.95833,,,,,,,,,,,,,,,,,
"1998-11-21 12:30:00",1,"SA1",25,14.27000,0.00000,,"1998-11-21 12:25:06",14.27324,,,,,,,,,,,,,,,,,
